Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Mohabbatein,27-10-2000,Hindi,Amitabh Bachchan,Aishwarya Rai Bachchan,Babloo Chakravorty,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.",6.994,5.4315
Hera Pheri,31-03-2000,Hindi,Akshay Kumar,Tabu,Anu Malik,"Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.",6.9,1.8624
Har Dil Jo Pyar Karega,04-08-2000,Hindi,Salman Khan,Rani Mukerji,Anu Malik,"Raj is a struggling singer chasing his dreams in Mumbai, India. One night, he rescues a girl, Pooja, from a car accident and takes her to the hospital. As she lies in a coma, her wealthy family assume that Raj is the man with whom their daughter eloped. Sensing opportunity, he assumes this new identity. When Pooja's best friend, Jahnvi, shows up, however, Raj starts to like her. After Pooja wakes up and falls for Raj, a tricky love triangle occurs.",5.5,1.6294
Josh,09-06-2000,Hindi,Chandrachur Singh,Aishwarya Rai Bachchan,Sandeep Shirodkar,"Two gangs fight for control of the streets: the Scorpions, led by Prakash and the Eagles, fronted by Max. When Prakash's brother Rahul comes to visit, he meets and quickly falls in love with Shirley, not realizing she's the sister of his brother's rival, Max. Though Rahul tries to keep their relationship secret, it's only a matter of time before it brings the gang rivalry to a head.",5.9,1.6733
Kaho Naa... Pyaar Hai,14-01-2000,Hindi,Hrithik Roshan,Ameesha Patel,Rajesh Roshan,"Sonia and Rohit love each other but Rohit is mysteriously killed. When Sonia moves to New Zealand, she meets Raj, Rohit's lookalike who helps her trace Rohit's killer.",6.7,1.2803
Jis Desh Mein Ganga Rehta Hai,13-10-2000,Hindi,Govinda,Sonali Bendre,Anand Raj Anand,"Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and his wife Radha comes to ask him to move into their bungalow located in the city to which Ganga agrees and goes to bid farewell to his friends and girlfriend Saawni. While in the city Ganga is introduced to his elder brother, Milind, his wife, Supriya, and his younger brother; Ganga finds it very hard to adjust to the city life and is often scuffed at. Avinash arranges his marriage with equally wealthy Tina to which he agrees although he is not comfortable with this marriage as he is still in love with Saawni; meanwhile Ganga's honest policy gets him and his new found family into further problems.",5.5,0.8591
Dil Hi Dil Mein,21-04-2000,Hindi,Anupam Kher,Sonali Bendre,A.R. Rahman,"Ram Chandra is a Tamilian who lives in a shanty hut in Bombay's Dharavi, along with his mom and a younger sister. He dream is to attend school, which he does so, after his sister is loaned out to a beggar to collect alms, but she is unable to withstand hunger for long and passes away. Ram leaves home and subsequently works hard, studies, becomes rich and constructs several colleges to accommodate needy students. One such student he accommodates is a new arrival from Allahabad, Raja, and he arranges his admission in Ram Chandra College for Business Management along with full board and shelter. He also helps Raja sort out his personal problems, including his romance with a young woman he met at the Cyber Café and then at Bandra Railway Station. While Ram Chandra is busy arranging his daughter's marriage with Rajesh Gupta, the only son of a multi-millionaire and educationist, he is quite unaware that the object of Raja's affections is none other than Roja, his very own daughter.",6,0.8631
Phir Bhi Dil Hai Hindustani,21-01-2000,Hindi,Shah Rukh Khan,Juhi Chawla Mehta,Jatin Pandit,Two rival reporters team up to help prove the innocence of a man set to be hanged for the murder of a politician.,6.6,1.3867
Kahin Pyaar Na Ho Jaaye,17-11-2000,Hindi,Salman Khan,Rani Mukerji,Himesh Reshammiya,"Prem Kapoor, an aspiring popstar, lives with his elder sister, Neelu, and brother-in-law, Vinod. Prem is in love with Nisha and both hope to marry soon...",5.2,0.7559
Mission Kashmir,27-10-2000,Hindi,Sanjay Dutt,Preity Zinta,Loy Mendonsa,A police officer adopts the son and sole survivor of a family he has massacred while pursuing a terrorist. After some time the foster son finds out what the stepfather did.,6.3,0.8788
